Council area,Registration Year,Standardised birth rate,
North Lanarkshire,2012,11.0,
Orkney Islands,2012,11.3,
Perth and Kinross,2012,10.4,
Renfrewshire,2012,11.9,
Scotland,2012,10.9,
Scottish Borders,2012,13.3,
Shetland Islands,2012,13.6,
South Ayrshire,2012,10.8,
South Lanarkshire,2012,11.5,
Stirling,2012,9.4,
West Dunbartonshire,2012,12.0,
West Lothian,2012,12.0,
Aberdeen City,2013,8.6,
Aberdeenshire,2013,11.8,
Angus,2013,11.6,
Argyll and Bute,2013,11.2,
City of Edinburgh,2013,8.5,
Clackmannanshire,2013,12.1,
Dumfries and Galloway,2013,11.3,
Dundee City,2013,9.2,
East Ayrshire,2013,12.0,
East Dunbartonshire,2013,11.6,
East Lothian,2013,11.9,
East Renfrewshire,2013,12.2,
Falkirk,2013,11.1,
Fife,2013,11.3,
Glasgow City,2013,9.4,
Highland,2013,11.3,
Inverclyde,2013,10.5,
Midlothian,2013,13.0,
Moray,2013,11.8,
Na h-Eileanan Siar,2013,11.8,
North Ayrshire,2013,11.0,
North Lanarkshire,2013,11.1,
Orkney Islands,2013,11.4,
Perth and Kinross,2013,10.8,
Renfrewshire,2013,10.9,
Scotland,2013,10.5,
Scottish Borders,2013,13.4,
Shetland Islands,2013,12.9,
South Ayrshire,2013,10.8,
South Lanarkshire,2013,11.2,
Stirling,2013,9.3,
West Dunbartonshire,2013,11.2,
West Lothian,2013,11.8,
Aberdeen City,2014,8.6,
Aberdeenshire,2014,12.2,
Angus,2014,11.9,
Argyll and Bute,2014,11.8,
City of Edinburgh,2014,8.4,
Clackmannanshire,2014,12.4,
Dumfries and Galloway,2014,11.1,
Dundee City,2014,9.9,
East Ayrshire,2014,11.3,
East Dunbartonshire,2014,11.4,
East Lothian,2014,11.4,
East Renfrewshire,2014,11.6,
Falkirk,2014,11.5,
Fife,2014,11.4,
Glasgow City,2014,9.6,
Highland,2014,11.8,
Inverclyde,2014,10.5,
Midlothian,2014,12.9,
Moray,2014,11.4,
Na h-Eileanan Siar,2014,11.1,
North Ayrshire,2014,10.9,
North Lanarkshire,2014,11.1,
Orkney Islands,2014,10.3,
Perth and Kinross,2014,10.9,
Renfrewshire,2014,11.1,
Scotland,2014,10.6,
Scottish Borders,2014,12.8,
Shetland Islands,2014,12.6,
South Ayrshire,2014,11.3,
South Lanarkshire,2014,11.7,
Stirling,2014,9.6,
West Dunbartonshire,2014,11.3,
West Lothian,2014,11.8,
Aberdeen City,2015,8.7,
Aberdeenshire,2015,12.4,
Angus,2015,11.1,
Argyll and Bute,2015,11.4,
