Council area,Year,Sex,Age group,Number
Aberdeen City,2012-13,Male,10 to 14,-24
Aberdeen City,2012-13,Male,15 to 19,495
Aberdeen City,2012-13,Male,20 to 24,604
Aberdeen City,2012-13,Male,25 to 29,263
Aberdeen City,2012-13,Male,30 to 34,-12
Aberdeen City,2012-13,Male,35 to 39,-115
Aberdeen City,2012-13,Male,40 to 44,-45
Aberdeen City,2012-13,Male,45 to 49,3
Aberdeen City,2012-13,Male,5 to 9,-81
Aberdeen City,2012-13,Male,50 to 54,34
Aberdeen City,2012-13,Male,55 to 59,-7
Aberdeen City,2012-13,Male,60 to 64,-78
Aberdeen City,2012-13,Male,65 to 69,-45
Aberdeen City,2012-13,Male,70 to 74,-13
Aberdeen City,2012-13,Male,75 to 79,0
Aberdeen City,2012-13,Male,80 to 84,0
Aberdeen City,2012-13,Male,85 to 89,7
Aberdeen City,2012-13,Male,90 and over,-7
Aberdeen City,2012-13,Male,All ages,873
Aberdeen City,2013-14,Female,0 to 4,-122
Aberdeen City,2013-14,Female,10 to 14,16
Aberdeen City,2013-14,Female,15 to 19,909
Aberdeen City,2013-14,Female,20 to 24,350
Aberdeen City,2013-14,Female,25 to 29,45
Aberdeen City,2013-14,Female,30 to 34,-133
Aberdeen City,2013-14,Female,35 to 39,-89
Aberdeen City,2013-14,Female,40 to 44,-7
Aberdeen City,2013-14,Female,45 to 49,-37
Aberdeen City,2013-14,Female,5 to 9,-7
Aberdeen City,2013-14,Female,50 to 54,-35
Aberdeen City,2013-14,Female,55 to 59,-18
Aberdeen City,2013-14,Female,60 to 64,-80
Aberdeen City,2013-14,Female,65 to 69,-54
Aberdeen City,2013-14,Female,70 to 74,-8
Aberdeen City,2013-14,Female,75 to 79,-2
Aberdeen City,2013-14,Female,80 to 84,5
Aberdeen City,2013-14,Female,85 to 89,-14
Aberdeen City,2013-14,Female,90 and over,-9
Aberdeen City,2013-14,Female,All ages,710
Aberdeen City,2013-14,Male,0 to 4,-138
Aberdeen City,2013-14,Male,10 to 14,-18
Aberdeen City,2013-14,Male,15 to 19,426
Aberdeen City,2013-14,Male,20 to 24,594
Aberdeen City,2013-14,Male,25 to 29,390
Aberdeen City,2013-14,Male,30 to 34,-62
Aberdeen City,2013-14,Male,35 to 39,-74
Aberdeen City,2013-14,Male,40 to 44,-95
Aberdeen City,2013-14,Male,45 to 49,-47
Aberdeen City,2013-14,Male,5 to 9,-41
Aberdeen City,2013-14,Male,50 to 54,-15
Aberdeen City,2013-14,Male,55 to 59,-37
Aberdeen City,2013-14,Male,60 to 64,-50
Aberdeen City,2013-14,Male,65 to 69,-74
Aberdeen City,2013-14,Male,70 to 74,-1
Aberdeen City,2013-14,Male,75 to 79,-17
Aberdeen City,2013-14,Male,80 to 84,-23
Aberdeen City,2013-14,Male,85 to 89,-8
Aberdeen City,2013-14,Male,90 and over,-8
Aberdeen City,2013-14,Male,All ages,702
Aberdeen City,2014-15,Female,0 to 4,-98
Aberdeen City,2014-15,Female,10 to 14,11
Aberdeen City,2014-15,Female,15 to 19,1001
Aberdeen City,2014-15,Female,20 to 24,188
Aberdeen City,2014-15,Female,25 to 29,-44
Aberdeen City,2014-15,Female,30 to 34,-284
Aberdeen City,2014-15,Female,35 to 39,-23
Aberdeen City,2014-15,Female,40 to 44,-30
Aberdeen City,2014-15,Female,45 to 49,-60
Aberdeen City,2014-15,Female,5 to 9,-50
Aberdeen City,2014-15,Female,50 to 54,-29
Aberdeen City,2014-15,Female,55 to 59,-54
Aberdeen City,2014-15,Female,60 to 64,-58
Aberdeen City,2014-15,Female,65 to 69,-30
Aberdeen City,2014-15,Female,70 to 74,-17
